Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ezekiel Elliott,1434,304,6,11,1,41,73,4.164,6
Saquon Barkley,1307,261,11,16,7,78,50,5.22,0
Todd Gurley,1251,256,17,11,0,36,70,3.657,0
Joe Mixon,1168,237,8,11,3,51,60,3.95,0
Chris Carson,1151,247,9,8,1,61,61,4.049,3
Christian McCaffrey,1098,219,7,6,3,59,53,4.132,2
Derrick Henry,1059,215,12,4,2,99,51,4.216,0
Adrian Peterson,1042,251,7,5,3,90,47,5.34,2
Phillip Lindsay,1037,192,9,8,3,65,49,3.918,0
Nick Chubb,996,192,8,11,4,92,47,4.085,0
Lamar Miller,973,210,5,6,2,97,36,5.833,0
James Conner,973,215,12,9,0,30,56,3.839,3
David Johnson,940,258,7,2,1,53,51,5.059,2
Jordan Howard,935,250,9,5,1,42,53,4.717,2
Sony Michel,931,209,6,4,0,34,54,3.87,1
Marlon Mack,908,195,9,7,1,49,50,3.9,1
Melvin Gordon,885,175,10,9,0,34,47,3.723,0
Alvin Kamara,883,194,14,1,1,49,57,3.404,0
Peyton Barber,871,234,5,4,0,28,41,5.707,1
Kareem Hunt,824,181,7,7,1,45,46,3.935,0
Matt Breida,814,153,3,10,1,66,36,4.25,1
Tevin Coleman,800,167,4,8,2,65,36,4.639,1
Aaron Jones,728,133,8,4,1,67,41,3.244,1
Doug Martin,723,172,4,2,0,29,37,4.649,3
Frank Gore,722,156,0,5,0,39,25,6.24,1
Gus Edwards,718,137,2,4,1,43,37,3.703,0
Lamar Jackson,695,147,5,8,0,39,45,3.267,10
Isaiah Crowell,685,143,6,6,3,77,26,5.5,0
Mark Ingram,645,138,6,3,0,38,34,4.059,2
Kerryon Johnson,641,118,3,6,1,71,32,3.688,1
Josh Allen,631,89,8,8,1,45,41,2.171,5
Dalvin Cook,615,133,2,4,1,70,22,6.045,2
Latavius Murray,578,140,6,6,0,38,23,6.087,0
Carlos Hyde,571,172,5,1,0,41,27,6.37,2
Austin Ekeler,554,106,3,4,1,41,25,4.24,0
Deshaun Watson,551,99,5,2,0,34,33,3.0,3
Kenyan Drake,535,120,4,4,1,54,23,5.217,2
Royce Freeman,521,130,5,2,0,24,30,4.333,1
Dion Lewis,517,155,1,2,0,36,22,7.045,1
LeSean McCoy,514,161,3,3,0,28,22,7.318,0
Mike Davis,514,112,4,2,0,37,25,4.48,0
Josh Adams,511,120,3,4,0,29,23,5.217,1
Alfred Blue,499,150,2,0,0,17,25,6.0,0
Cam Newton,488,101,4,2,0,29,36,2.806,2
Jamaal Williams,464,121,3,1,0,20,25,4.84,0
Tarik Cohen,444,99,3,7,0,32,20,4.95,2
Leonard Fournette,439,133,5,2,0,25,23,5.783,0
Alfred Morris,428,111,2,3,1,51,24,4.625,2
James White,425,94,5,5,0,27,22,4.273,0
Mitchell Trubisky,421,68,3,4,0,39,29,2.345,1
Rashaad Penny,419,85,2,4,0,38,18,4.722,0
LeGarrette Blount,418,154,5,2,0,27,25,6.16,1
T.J. Yeldon,414,104,1,1,0,20,16,6.5,1
Alex Collins,411,114,7,0,0,19,22,5.182,3
C.J. Anderson,403,67,2,3,1,68,21,3.19,0
Chris Ivory,385,115,1,2,0,21,25,4.6,1
Russell Wilson,376,67,0,3,1,40,23,2.913,3
Marshawn Lynch,376,90,3,1,1,52,20,4.5,0
Blake Bortles,365,58,1,3,1,41,28,2.071,3
Wendell Smallwood,364,87,3,0,0,15,22,3.955,1
Marcus Mariota,357,64,2,3,0,27,26,2.462,3
Bilal Powell,343,80,0,2,0,38,16,5.0,2
Jordan Wilkins,336,60,1,1,1,53,15,4.0,0
Kenneth Dixon,333,60,2,2,0,37,20,3.0,2
Ito Smith,315,90,4,0,0,18,18,5.0,1
Nyheim Hines,314,85,2,0,0,18,17,5.0,1
Dak Prescott,305,75,6,1,0,28,25,3.0,4
Jameis Winston,281,49,1,0,0,18,18,2.722,4
Elijah McGuire,276,92,3,1,0,34,15,6.133,2
Patrick Mahomes,272,60,2,3,0,28,18,3.333,2
Aaron Rodgers,269,43,2,3,0,23,20,2.15,2
Jeff Wilson,266,66,0,0,0,18,13,5.077,3
Zach Zenner,265,55,3,1,0,29,14,3.929,0
Raheem Mostert,261,34,1,2,1,52,13,2.615,1
Jalen Richard,259,55,1,3,0,30,11,5.0,2
Corey Clement,259,68,2,2,0,32,15,4.533,2
Damien Williams,256,50,4,3,0,25,15,3.333,1
Jaylen Samuels,256,56,0,1,0,25,13,4.308,0
Marcus Murphy,250,52,0,1,0,30,7,7.429,0
Spencer Ware,246,51,2,2,0,34,14,3.643,0
Cordarrelle Patterson,228,42,1,2,0,27,15,2.8,0
Malcolm Brown,212,43,0,0,0,19,10,4.3,0
Giovani Bernard,211,56,3,2,0,23,14,4.0,0
Chase Edmonds,208,60,2,2,0,29,14,4.286,1
Justin Jackson,206,50,2,1,0,20,14,3.571,0
Duke Johnson,201,40,0,1,0,23,9,4.444,0
Taysom Hill,196,37,2,1,0,35,15,2.467,1
Kalen Ballage,191,36,1,1,1,75,10,3.6,1
Ty Montgomery,188,41,1,0,0,31,10,4.1,1
Rex Burkhead,186,57,0,0,0,12,11,5.182,1
Jay Ajayi,184,45,3,1,0,20,11,4.091,1
Devontae Booker,183,34,1,1,0,26,11,3.091,0
Chris Thompson,178,43,0,0,0,16,9,4.778,1
Wayne Gallman,176,51,1,0,0,9,7,7.286,0
D.J. Moore,172,13,0,3,0,32,6,2.167,2
Theo Riddick,171,40,0,0,0,19,8,5.0,0
Alex Smith,168,41,1,1,0,22,15,2.733,3
Robert Woods,157,19,1,1,1,56,9,2.111,0
Brian Hill,157,20,0,3,1,60,5,4.0,1
Dwayne Washington,154,27,0,3,0,28,7,3.857,0
Ryan Fitzpatrick,152,36,2,0,0,18,9,4.0,0
Tyreek Hill,151,22,1,3,0,33,8,2.75,0
Andrew Luck,148,46,0,1,0,33,12,3.833,1
Ryan Tannehill,145,32,0,1,0,20,9,3.556,1
Josh Rosen,138,23,0,1,0,33,8,2.875,3
Sam Darnold,138,44,1,1,0,28,16,2.75,4
Baker Mayfield,131,39,0,1,0,35,8,4.875,3
Jeff Driskel,130,25,2,1,0,27,7,3.571,1
Rod Smith,127,44,1,0,0,14,10,4.4,0
Tyrod Taylor,125,16,1,3,0,24,6,2.667,2
Matt Ryan,125,33,3,0,0,15,15,2.2,0
Cody Kessler,123,19,0,1,0,21,9,2.111,0
Kirk Cousins,123,44,1,0,0,19,12,3.667,4
Darren Sproles,120,29,1,0,0,17,6,4.833,0
Josh Johnson,120,23,1,0,0,16,7,3.286,0
DeAndre Washington,115,30,0,0,0,13,8,3.75,1
Trenton Cannon,113,38,1,1,0,21,7,5.429,0
Javorius Allen,110,41,3,0,0,17,10,4.1,0
Jared Goff,108,43,2,0,0,16,9,4.778,2
Julian Edelman,107,9,0,1,0,20,7,1.286,0
Jacquizz Rodgers,106,33,1,1,0,20,7,4.714,0
Kapri Bibbs,103,21,3,0,0,17,8,2.625,0
Andy Dalton,99,16,0,2,0,21,4,4.0,0
Dede Westbrook,98,9,0,2,1,43,5,1.8,0
Ben Roethlisberger,98,31,3,0,0,18,13,2.385,0
Carson Wentz,93,34,0,0,0,13,9,3.778,0
Case Keenum,93,26,2,0,0,17,10,2.6,3
Brandon Bolden,91,8,2,1,1,54,4,2.0,1
Curtis Samuel,84,8,2,2,0,33,3,2.667,0
Stevan Ridley,80,29,1,0,0,12,3,9.667,1
Keith Ford,79,21,0,0,0,11,4,5.25,0
Keenan Allen,75,9,0,2,0,28,4,2.25,1
John Kelly,74,27,0,0,0,7,6,4.5,0
Matthew Stafford,71,25,0,0,0,10,8,3.125,1
Kenjon Barner,71,19,0,0,0,11,3,6.333,0
Tyler Lockett,69,13,0,0,0,18,3,4.333,0
C.J. Beathard,69,19,1,0,0,13,6,3.167,2
Cameron Artis-Payne,69,19,1,0,0,15,8,2.375,0
Devonta Freeman,68,14,0,2,0,20,2,7.0,0
Brandin Cooks,68,10,1,0,0,17,5,2.0,0
Isaiah McKenzie,66,10,2,0,0,15,4,2.5,0
Colt McCoy,63,10,0,0,0,15,4,2.5,0
Stefon Diggs,62,10,0,1,0,20,3,3.333,0
Taylor Gabriel,61,9,0,1,0,20,3,3.0,0
Jarvis Landry,60,3,1,1,1,51,2,1.5,0
Corey Davis,55,6,0,1,0,39,2,3.0,0
Tavon Austin,55,6,0,0,0,18,2,3.0,0
Emmanuel Sanders,53,4,1,1,0,35,2,2.0,0
Sammy Watkins,52,5,0,1,0,31,2,2.5,1
Nathan Peterman,50,10,1,1,0,24,4,2.5,0
Detrez Newsome,49,11,0,0,0,16,3,3.667,0
Derek Carr,47,24,1,0,0,15,5,4.8,1
Mike Boone,47,11,0,1,0,20,2,5.5,0
Joe Flacco,45,19,0,0,0,13,10,1.9,1
Darrel Williams,44,13,0,0,0,8,3,4.333,0
Mohamed Sanu,44,7,0,1,0,24,5,1.4,0
Ronald Jones,44,23,1,0,0,9,2,11.5,0
Mike Gillislee,43,16,0,0,0,5,2,8.0,1
Johnny Townsend,42,1,0,1,1,42,1,1.0,0
Zach Line,41,9,0,0,0,9,6,1.5,0
Travis Benjamin,41,7,0,0,0,19,2,3.5,0
Corey Grant,40,13,0,0,0,8,1,13.0,0
Jarius Wright,39,2,0,1,0,34,1,2.0,0
DeShone Kizer,39,5,0,0,0,12,3,1.667,0
Dave Williams,36,8,0,0,0,15,3,2.667,0
Evan Engram,36,3,0,0,0,14,3,1.0,0
Christian Kirk,35,3,0,1,0,23,2,1.5,0
Tom Brady,35,23,2,0,0,10,10,2.3,0
Mark Walton,34,14,0,0,0,10,5,2.8,0
Golden Tate,34,4,0,1,0,22,1,4.0,0
Sterling Shepard,33,3,0,1,0,27,1,3.0,0
Jimmy Garoppolo,33,8,0,0,0,13,2,4.0,2
Samaje Perine,32,8,0,0,0,11,2,4.0,0
Josh McCown,32,5,0,0,0,12,2,2.5,0
Nelson Agholor,32,3,0,0,0,16,2,1.5,0
Taylor Heinicke,31,5,0,0,0,19,2,2.5,1
Roc Thomas,30,8,0,1,0,23,2,4.0,0
Adam Thielen,30,5,0,0,0,15,1,5.0,0
Kyle Juszczyk,30,8,0,0,0,12,2,4.0,1
Jamison Crowder,30,4,0,1,0,25,1,4.0,0
Shaun Wilson,29,6,0,0,0,9,0,0.0,0
Marquez Valdes-Scantling,29,2,0,1,0,21,2,1.0,0
DeSean Jackson,29,6,1,0,0,14,2,3.0,0
Phillip Dorsett,29,4,0,0,0,17,2,2.0,0
Mike Williams,28,7,1,0,0,19,2,3.5,0
Calvin Ridley,27,6,0,0,0,9,1,6.0,0
Anthony Miller,26,6,0,0,0,9,0,0.0,1
Raven Greene,26,1,0,1,0,26,1,1.0,0
Ted Ginn,26,3,0,1,0,20,1,3.0,0
Elijhaa Penny,25,7,0,0,0,8,2,3.5,0
Jeremy Langford,25,9,0,0,0,7,1,9.0,0
Cooper Kupp,25,4,0,0,0,12,3,1.333,0
Jeremy Hill,25,4,0,0,0,11,1,4.0,0
Martavis Bryant,23,3,0,0,0,17,1,3.0,0
Alex Erickson,22,3,0,0,0,14,1,3.0,0
Drew Brees,22,31,4,0,0,11,11,2.818,2
Darren Waller,21,1,0,1,0,21,1,1.0,0
Ryan Switzer,21,6,0,0,0,8,0,0.0,0
Brock Osweiler,21,8,0,0,0,7,1,8.0,1
Andre Roberts,20,2,0,0,0,18,1,2.0,0
Eli Manning,20,15,1,0,0,7,5,3.0,0
Benny Cunningham,20,11,0,0,0,6,0,0.0,0
Amari Cooper,20,2,0,0,0,20,1,2.0,0
De'Angelo Henderson Sr.,19,2,0,0,0,13,0,0.0,1
Justin Davis,19,2,0,0,0,19,1,2.0,0
Odell Beckham Jr.,19,5,0,0,0,11,2,2.5,0
Kyle Allen,19,5,1,0,0,10,2,2.5,0
Jonathan Stewart,17,6,0,0,0,5,0,0.0,0
Tim Patrick,17,3,0,0,0,13,2,1.5,0
Chris Moore,17,5,0,0,0,9,1,5.0,0
Nick Foles,17,9,0,0,0,4,6,1.5,0
Travaris Cadet,17,11,0,0,0,5,0,0.0,0
Jamal Agnew,17,1,0,0,0,17,1,1.0,0
Albert Wilson,16,8,0,0,0,5,2,4.0,0
Tajae Sharpe,16,1,0,0,0,16,1,1.0,0
Taquan Mizzell,16,9,0,0,0,7,0,0.0,0
Darius Jackson,16,6,0,0,0,4,0,0.0,0
David Fluellen,16,4,0,0,0,13,1,4.0,0
Gerald Everett,16,2,0,0,0,12,1,2.0,0
Tyrell Williams,15,2,0,0,0,14,1,2.0,0
Brandon Wilds,15,6,0,0,0,5,0,0.0,0
Alex Armah,15,9,2,0,0,4,3,3.0,0
Riley Dixon,14,1,0,0,0,14,1,1.0,0
Leonte Carroo,14,1,0,0,0,14,1,1.0,0
Willie Snead,13,1,0,0,0,13,1,1.0,0
JuJu Smith-Schuster,13,1,0,0,0,13,1,1.0,0
Matt Cassel,13,2,0,0,0,14,1,2.0,0
Jourdan Lewis,12,2,0,0,0,7,0,0.0,0
Julio Jones,12,2,0,0,0,11,1,2.0,0
Dwayne Harris,12,2,0,0,0,13,1,2.0,0
Derek Watt,11,4,0,0,0,8,1,4.0,0
Adam Humphries,11,2,0,0,0,7,0,0.0,0
Joshua Dobbs,11,4,0,0,0,10,2,2.0,0
Robert Turbin,10,4,0,0,0,5,0,0.0,1
Zach Pascal,10,2,0,0,0,8,0,0.0,0
Tommylee Lewis,10,2,0,0,0,6,0,0.0,1
George Kittle,10,1,0,0,0,10,1,1.0,0
Maurice Harris,10,2,0,0,0,6,1,2.0,0
Chad Williams,9,1,0,0,0,9,0,0.0,0
John Ross,9,4,0,0,0,7,0,0.0,0
Allen Robinson,9,1,0,0,0,9,0,0.0,0
Paul Richardson,9,2,0,0,0,7,0,0.0,0
Christine Michael,9,2,0,0,0,8,0,0.0,0
Byron Marshall,9,3,0,0,0,4,0,0.0,0
Marquise Goodwin,9,4,0,0,0,5,0,0.0,0
Patrick DiMarco,9,1,0,0,0,9,1,1.0,0
Michael Dickson,9,1,0,0,0,9,1,1.0,0
Ed Dickson,9,1,0,0,0,9,1,1.0,0
Maxx Williams,8,3,0,0,0,7,2,1.5,0
Mark Sanchez,8,1,0,0,0,8,1,1.0,0
Josh Reynolds,8,2,0,0,0,10,1,2.0,0
J.D. McKissic,8,3,0,0,0,6,0,0.0,0
Rob Kelley,8,4,0,0,0,6,1,4.0,0
C.J. Ham,8,6,0,0,0,5,1,6.0,0
Kenny Golladay,8,1,0,0,0,8,0,0.0,0
James Develin,8,6,4,0,0,2,5,1.2,0
Tavon Wilson,7,1,0,0,0,7,1,1.0,0
Philip Rivers,7,18,0,0,0,7,1,18.0,1
Jamaal Charles,7,6,0,0,0,5,0,0.0,0
DeAndre Carter,7,1,0,0,0,7,0,0.0,0
Antonio Callaway,7,2,0,0,0,15,1,2.0,0
Sam Bradford,7,2,0,0,0,8,1,2.0,0
De'Anthony Thomas,6,1,0,0,0,6,0,0.0,0
Clayton Fejedelem,6,2,0,0,0,6,1,2.0,1
Equanimeous St. Brown,5,1,0,0,0,5,0,0.0,0
Seth Roberts,5,3,0,0,0,11,1,3.0,0
David Moore,5,1,0,0,0,5,0,0.0,0
Andy Janovich,5,2,0,0,0,3,2,1.0,0
Jakeem Grant,5,1,0,0,0,5,0,0.0,0
Corey Coleman,5,1,0,0,0,5,0,0.0,0
Teddy Bridgewater,5,11,0,0,0,9,1,11.0,0
De'Lance Turner,4,1,0,0,0,4,0,0.0,0
Brandon Powell,4,1,0,0,0,4,0,0.0,0
Roosevelt Nix,4,1,0,0,0,4,0,0.0,0
Rontez Miles,4,1,0,0,0,4,1,1.0,0
Jeremy McNichols,4,2,0,0,0,7,1,2.0,0
Ray-Ray McCloud,4,2,0,0,0,7,0,0.0,0
John Brown,4,3,0,0,0,3,0,0.0,0
Tre Madden,3,3,0,0,0,2,1,3.0,0
Chad Henne,3,1,0,0,0,3,0,0.0,0
Johnny Hekker,3,1,0,0,0,3,0,0.0,0
Jeff Heath,3,1,0,0,0,3,1,1.0,0
Chase Daniel,3,13,0,0,0,4,1,13.0,3
Derrick Coleman,3,2,0,0,0,2,0,0.0,0
Tyler Boyd,3,2,0,0,0,5,0,0.0,0
Geno Smith,2,8,0,0,0,9,0,0.0,0
Anthony Sherman,2,1,0,0,0,2,1,1.0,0
Breshad Perriman,2,4,0,0,0,7,0,0.0,0
T.J. Logan,2,2,0,0,0,5,0,0.0,0
Darius Jennings,2,1,0,0,0,2,0,0.0,0
Bruce Ellington,2,1,0,0,0,2,0,0.0,0
Trey Burton,2,1,0,0,0,2,1,1.0,0
Akiem Hicks,1,1,1,0,0,1,1,1.0,0
Cameron Batson,1,1,0,0,0,1,1,1.0,0
Ameer Abdullah,1,1,0,0,0,1,0,0.0,0
